n,time
45800,0.032
45900,0.032
46000,0.032
46100,0.024
46200,0.032
46300,0.024
46400,0.024
46500,0.032
46600,0.032
46700,0.032
46800,0.024
46900,0.032
47000,0.032
47100,0.032
47200,0.024
47300,0.024
47400,0.032
47500,0.032
47600,0.024
47700,0.024
47800,0.024
47900,0.032
48000,0.032
48100,0.024
48200,0.032
48300,0.032
48400,0.024
48500,0.032
48600,0.032
48700,0.032
48800,0.032
48900,0.032
49000,0.024
49100,0.024
49200,0.032
49300,0.032
49400,0.064
49500,0.04
49600,0.032
49700,0.032
49800,0.032
49900,0.032
50000,0.032
50100,0.032
50200,0.024
50300,0.032
50400,0.032
50500,0.024
50600,0.024
50700,0.032
50800,0.032
50900,0.032
51000,0.024
51100,0.032
51200,0.032
51300,0.032
51400,0.032
51500,0.032
51600,0.024
51700,0.024
51800,0.032
51900,0.024
52000,0.031
52100,0.024
52200,0.032
52300,0.032
52400,0.032
52500,0.056
52600,0.03
52700,0.032
52800,0.024
52900,0.032
53000,0.032
53100,0.032
53200,0.032
53300,0.024
53400,0.032
53500,0.032
53600,0.032
53700,0.032
53800,0.032
53900,0.032
54000,0.032
54100,0.04
54200,0.032
54300,0.032
54400,0.032
54500,0.032
54600,0.032
54700,0.032
54800,0.032
54900,0.032
55000,0.032
55100,0.032
55200,0.032
55300,0.032
55400,0.032
55500,0.03
55600,0.032
55700,0.032
55800,0.032
55900,0.032
56000,0.024
56100,0.032
56200,0.032
56300,0.032
56400,0.032
56500,0.032
56600,0.032
56700,0.032
56800,0.024
56900,0.032
57000,0.032
57100,0.032
57200,0.032
57300,0.032
57400,0.032
57500,0.032
57600,0.032
57700,0.032
57800,0.032
57900,0.032
58000,0.032
58100,0.032
58200,0.032
58300,0.032
58400,0.032
58500,0.032
58600,0.032
58700,0.032
58800,0.032
58900,0.032
59000,0.032
59100,0.032
59200,0.032
59300,0.032
59400,0.032
59500,0.032
59600,0.032
59700,0.032
59800,0.032
59900,0.04
60000,0.032
60100,0.032
60200,0.032
60300,0.032
60400,0.04
60500,0.032
60600,0.032
60700,0.032
60800,0.032
60900,0.032
61000,0.032
61100,0.032
61200,0.032
61300,0.032
61400,0.064
61500,0.032
61600,0.032
61700,0.032
61800,0.04
61900,0.04
62000,0.032
62100,0.032
62200,0.032
62300,0.032
62400,0.032
62500,0.032
62600,0.032
62700,0.032
62800,0.032
62900,0.04
63000,0.032
63100,0.032
63200,0.032
63300,0.032
63400,0.032
63500,0.04
63600,0.032
63700,0.032
63800,0.04
63900,0.04
64000,0.04
64100,0.04
64200,0.04
64300,0.04
64400,0.032
64500,0.032
64600,0.032
64700,0.032
64800,0.032
64900,0.032
65000,0.032
65100,0.032
65200,0.032
65300,0.032
65400,0.032
65500,0.032
65600,0.04
65700,0.032
65800,0.04
65900,0.032
66000,0.032
66100,0.032
66200,0.032
66300,0.032
66400,0.04
66500,0.04
66600,0.032
66700,0.032
66800,0.032
66900,0.032
67000,0.04
67100,0.032
67200,0.032
67300,0.032
67400,0.032
67500,0.04
67600,0.04
67700,0.04
67800,0.04
67900,0.04
68000,0.04
68100,0.032
68200,0.032
68300,0.032
68400,0.032
68500,0.032
68600,0.032
68700,0.032
68800,0.032
68900,0.032
69000,0.04
69100,0.04
69200,0.04
69300,0.04
69400,0.04
69500,0.04
69600,0.032
69700,0.04
69800,0.04
69900,0.04
70000,0.032
70100,0.032
70200,0.032
70300,0.032
70400,0.04
70500,0.04
70600,0.04
70700,0.032
70800,0.032
70900,0.04
