n, time
40100,1.209895
40200,1.249208
40300,1.201815
40400,1.164941
40500,1.093706
40600,1.111939
40700,1.498201
40800,1.599101
40900,1.556968
41000,1.35302
41100,1.172983
41200,1.179552
41300,1.187021
41400,1.386071
41500,1.376103
41600,1.511493
41700,1.231578
41800,1.230044
41900,1.18791
42000,1.160074
42100,1.168631
42200,1.174399
42300,1.162679
42400,1.161984
42500,1.167149
42600,1.211179
42700,1.192226
42800,1.217664
42900,1.204294
43000,1.205775
43100,1.217086
43200,1.295921
43300,1.260656
43400,1.388832
43500,1.26293
43600,1.244104
43700,1.251953
43800,1.250679
43900,1.262138
44000,1.263682
44100,1.267031
44200,1.282616
44300,1.279658
44400,1.296515
44500,1.369859
44600,1.293214
44700,1.287666
44800,1.341086
44900,1.305521
45000,1.312248
45100,1.321957
45200,1.330257
45300,1.324215
45400,1.327864
45500,1.34008
45600,1.349253
45700,1.347608
45800,1.353687
45900,1.361131
46000,1.368683
46100,1.370009
46200,1.376032
46300,1.40337
46400,1.401532
46500,1.40974
46600,1.409887
46700,1.416779
46800,1.413942
46900,1.416653
47000,1.414608
47100,1.427819
47200,1.439446
47300,1.442395
47400,1.452601
47500,1.455743
47600,1.462253
47700,1.469498
47800,1.47437
47900,1.483768
48000,1.491332
48100,1.66962
48200,1.590379
48300,1.570913
48400,1.532562
48500,1.530506
48600,1.527463
48700,1.552428
48800,1.556992
48900,1.585015
49000,1.577442
49100,1.563864
49200,1.563329
49300,1.568343
49400,1.590059
49500,1.576312
49600,1.57876
49700,1.57832
49800,1.58642
49900,1.597656
50000,1.607392
50100,1.607413
50200,1.621456
50300,1.631021
50400,1.64806
50500,1.640311
50600,1.645173
50700,1.656167
50800,1.665581
50900,1.66788
51000,1.704519
51100,1.693692
51200,1.703489
51300,1.700767
51400,1.704172
51500,1.715535
51600,1.757248
51700,1.718728
51800,1.724099
51900,1.732781
52000,1.735234
52100,1.73436
52200,1.757641
52300,1.773929
52400,1.761452
52500,1.768426
52600,1.786751
52700,1.784252
52800,1.788513
52900,1.791005
53000,1.802181
53100,1.808657
53200,1.8141
53300,1.82074
53400,1.828525
53500,1.831408
53600,1.844233
53700,1.850081
53800,1.857595
53900,1.869679
54000,1.870338
54100,1.878164
54200,1.887177
54300,1.892601
54400,1.893252
54500,1.904694
54600,1.908591
54700,1.922826
54800,1.927193
54900,1.934234
55000,1.935513
55100,1.949249
55200,1.955978
55300,1.964875
55400,1.969242
55500,1.979443
55600,1.982985
55700,1.994062
55800,2.001186
55900,2.025691
56000,2.043526
56100,2.048061
56200,2.035024
56300,2.047573
56400,2.062579
56500,2.055611
56600,2.073612
56700,2.077731
56800,2.091735
56900,2.099101
57000,2.105781
57100,2.354862
57200,2.236289
57300,2.170243
57400,2.138838
57500,2.146098
57600,2.163603
57700,2.159514
57800,2.191576
57900,2.185011
58000,2.17088
58100,2.178579
58200,2.196102
58300,2.279337
58400,2.410778
58500,2.382034
58600,2.358437
58700,2.276476
58800,2.22566
58900,2.400988
59000,2.281081
59100,2.36537
59200,2.295093
59300,2.300568
59400,2.333919
59500,2.329559
59600,2.31468
59700,2.311483
59800,2.304831
59900,2.301851
60000,2.311061
60100,2.308952
60200,2.318554
60300,2.337583
60400,2.346564
60500,2.376914
60600,2.374427
60700,2.384468
60800,2.384289
60900,2.384937
61000,2.40692
61100,2.410536
61200,2.411292
61300,2.424545
61400,2.430247
61500,2.435106
61600,2.476668
61700,2.485353
61800,2.471283
61900,2.469426
62000,2.478167
62100,2.501322
62200,2.49625
62300,2.512326
62400,2.520206
62500,2.520927
62600,2.529122
62700,2.521762
62800,2.53998
62900,2.577908
63000,2.566491
63100,2.569175
63200,2.560822
63300,2.585323
63400,2.596317
63500,2.596187
63600,2.597524
63700,2.616269
63800,2.610944
63900,2.639084
64000,2.654013
64100,2.67172
64200,2.671942
